"LanguageName" "GlottologID" "Family" "coupled.mc.dep" "coupled.mc.ind" "coupled.dep" "coupled.ind" "trees.ard" "trees.er" "Tree.No" "Lh" "q12" "q13" "q21" "q24" "q31" "q34" "q42" "q43" "Root...P.0.0." "Root...P.0.1." "Root...P.1.0." "Root...P.1.1." "hasfv"
"1" "ARAWAKAN" "araw1281" "Arawakan.araw1281" "Arawakan.araw1281.commands.DEP.log.txt" "Arawakan.araw1281.commands.IND.log.txt" "Arawakan.araw1281.commands.DEP.log.txt" "Arawakan.araw1281.commands.IND.log.txt" "Arawakan.araw1281.commands.ARD.log.txt" "Arawakan.araw1281.commands.ER.log.txt" 1 -4.49 5.59 2.39 13.29 2.39 0 0 0 0.28 0.45 0.44 0 0.11 TRUE
"2" "DRAVIDIAN" "drav1251" "Dravidian.drav1251" "Dravidian.drav1251.commands.DEP.log.txt" "Dravidian.drav1251.commands.IND.log.txt" "Dravidian.drav1251.commands.DEP.log.txt" "Dravidian.drav1251.commands.IND.log.txt" "Dravidian.drav1251.commands.ARD.log.txt" "Dravidian.drav1251.commands.ER.log.txt" 1 -4.18 0 1.43 19.33 1.43 0 0.22 0 0 0.37 0.32 0.31 0 FALSE
"3" "GUAHIBAN" "guah1252" "Guahibo.guah1252" "Guahibo.guah1252.commands.DEP.log.txt" "Guahibo.guah1252.commands.IND.log.txt" "Guahibo.guah1252.commands.DEP.log.txt" "Guahibo.guah1252.commands.IND.log.txt" "Guahibo.guah1252.commands.ARD.log.txt" "Guahibo.guah1252.commands.ER.log.txt" 1 -1.22 0.15 0 0 0 1.99 0 1.99 25.35 0.32 0 0.37 0.3 FALSE
"4" "MAYAN" "maya1287" "Mayan.maya1287" "Mayan.maya1287.commands.DEP.log.txt" "Mayan.maya1287.commands.IND.log.txt" "Mayan.maya1287.commands.DEP.log.txt" "Mayan.maya1287.commands.IND.log.txt" "Mayan.maya1287.commands.ARD.log.txt" "Mayan.maya1287.commands.ER.log.txt" 1 -4.03 0 1.37 7.07 1.37 0 0.12 0 0.19 0.31 0.28 0.3 0.11 FALSE
"5" "PAMAN" "pama1250" "Pama-Nyungan.pama1250" "Pama-Nyungan.pama1250.commands.DEP.log.txt" "Pama-Nyungan.pama1250.commands.IND.log.txt" "Pama-Nyungan.pama1250.commands.DEP.log.txt" "Pama-Nyungan.pama1250.commands.IND.log.txt" "Pama-Nyungan.pama1250.commands.ARD.log.txt" "Pama-Nyungan.pama1250.commands.ER.log.txt" 1 -2.77 0.08 0 1.87 0 3.66 0 3.66 22.48 0.25 0.24 0.25 0.25 FALSE
"6" "TUPI-GUARANI" "tupi1275" "Tupian.tupi1275" "Tupian.tupi1275.commands.DEP.log.txt" "Tupian.tupi1275.commands.IND.log.txt" "Tupian.tupi1275.commands.DEP.log.txt" "Tupian.tupi1275.commands.IND.log.txt" "" "" 1 -10.2 10.97 6.9 4.88 6.9 0.81 0.53 0.81 14.5 0.25 0.25 0.25 0.25 FALSE
"7" "URALIC" "ural1272" "Uralic.ural1272" "Uralic.ural1272.commands.DEP.log.txt" "Uralic.ural1272.commands.IND.log.txt" "Uralic.ural1272.commands.DEP.log.txt" "Uralic.ural1272.commands.IND.log.txt" "Uralic.ural1272.commands.ARD.log.txt" "Uralic.ural1272.commands.ER.log.txt" 1 -1.69 0 3.04 20.08 3.04 0 0.15 0 0 0.33 0.33 0.34 0 FALSE
