																														
	NUMClassement	APICodeEntier	APICode	SymboleAPI	Ajouter sous Excel	Champ1	Caracteristique	Theme	Type	CoordX	CoordY	NbTot	Selecte	Selecte1	CaractHex	Case 1	Case 2	Case 3	Case 4	Case 5	Case 6	Case 7	Case 8	Case 9	Case 10	Case 11	Case 12	Case 13	Case 14	Case 15
	46	887	u~:	u†►	u†►	long nasalized high back rounded peripheral vowel	long naszd high back rounded perif vowel		2	5		7	FALSE	FALSE	0075202025BA			naszd		long					high		back	rounded	perif	vowel
	47	993		u¾†	u¾†	nasalized ad-tg-root high back rounded peripheral vowel	naszd atroot high back rounded perif vowel		2	5			FALSE	FALSE	007500BE2020			naszd						atroot	high		back	rounded	perif	vowel
	48	994		u¾	u¾	ad-tg-root high back rounded peripheral vowel	atroot high back rounded perif vowel		2	5			FALSE	FALSE	007500BE									atroot	high		back	rounded	perif	vowel
	49	215	I!	I	I	lowered-high front unrounded peripheral vowel	lordhig front unrnd perif vowel		1	6		74	FALSE	FALSE	0049										lordhig		front	unrnd	perif	vowel
	50	216	I!9	Iſ	Iſ	pharyngealized lowered-high front unrounded peripheral vowel	pharzd lordhig front unrnd perif vowel		2	6		2	FALSE	FALSE	0049017F				pharzd						lordhig		front	unrnd	perif	vowel
	51	217	I!S	I˘	I˘	overshort lowered-high front unrounded peripheral vowel	ovrshort lordhig front unrnd perif vowel		2	6		1	FALSE	FALSE	004902D8					ovrshort					lordhig		front	unrnd	perif	vowel
	52	221	I!~	I†	I†	nasalized lowered-high front unrounded peripheral vowel	naszd lordhig front unrnd perif vowel		2	6		10	FALSE	FALSE	00492020			naszd							lordhig		front	unrnd	perif	vowel
	53	292	Y!	Y	Y	lowered-high front rounded vowel	lordhig front rounded vowel		1	7		4	FALSE	FALSE	0059										lordhig		front	rounded		vowel
	54	218	I!_	Iˉ	Iˉ	lowered-high central unrounded vowel	lordhig central unrnd vowel		1	8		4	FALSE	FALSE	004902C9										lordhig		central	unrnd		vowel
	55	219	I!_~	I†ˉ	I†ˉ	nasalized lowered-high central unrounded vowel	naszd lordhig central unrnd vowel		2	8		1	FALSE	FALSE	0049202002C9			naszd							lordhig		central	unrnd		vowel
	56	274	U!+	Ωº	Ωº	lowered-high central rounded vowel	lordhig central rounded vowel		1	9		1	FALSE	FALSE	03A900BA										lordhig		central	rounded		vowel
	57	278	U!U	Ū¼	Ū¼	lowered-high back unrounded vowel	lordhig back unrnd vowel		1	10		5	FALSE	FALSE	016A00BC										lordhig		back	unrnd		vowel
	58	281	UUS	Ū¼˘	Ū¼˘	overshort lowered-high back unrounded vowel	ovrshort lordhig back unrnd vowel		2	10		1	FALSE	FALSE	016A00BC02D8					ovrshort					lordhig		back	unrnd		vowel
	59	273	U!	Ω	Ω	lowered-high back rounded peripheral vowel	lordhig back rounded perif vowel		1	11		66	FALSE	FALSE	03A9										lordhig		back	rounded	perif	vowel
	60	275	U!9	Ωſ	Ωſ	pharyngealized lowered-high back rounded peripheral vowel	pharzd lordhig back rounded perif vowel		2	11		2	FALSE	FALSE	03A9017F				pharzd						lordhig		back	rounded	perif	vowel
	61	276	U!:	Ω►	Ω►	long lowered-high back rounded peripheral vowel	long lordhig back rounded perif vowel		2	11		1	FALSE	FALSE	03A925BA					long					lordhig		back	rounded	perif	vowel
	62	277	U!S	Ω˘	Ω˘	overshort lowered-high back rounded peripheral vowel	ovrshort lordhig back rounded perif vowel		2	11		1	FALSE	FALSE	03A902D8					ovrshort					lordhig		back	rounded	perif	vowel
	63	280	U!~	Ω†	Ω†	nasalized lowered-high back rounded peripheral vowel	naszd lordhig back rounded perif vowel		2	11		9	FALSE	FALSE	03A92020			naszd							lordhig		back	rounded	perif	vowel
	64	32	e9	eſ	eſ	pharyngealized higher-mid front unrounded peripheral vowel	pharzd himid front unrnd perif vowel		2	12		4	FALSE	FALSE	0065017F				pharzd						himid		front	unrnd	perif	vowel
	65	34	eS	e˘	e˘	overshort higher-mid front unrounded peripheral vowel	ovrshort himid front unrnd perif vowel		2	12		1	FALSE	FALSE	006502D8					ovrshort					himid		front	unrnd	perif	vowel
	66	37	e~*	e†·	e†·	creaky-voiced nasalized higher-mid front unrounded peripheral vowel	creaky naszd himid front unrnd perif vowel		2	12		1	FALSE	FALSE	006520200387			naszd				creaky			himid		front	unrnd	perif	vowel
	67	38	he	e°	e°	voiceless higher-mid front unrounded peripheral vowel	vl himid front unrnd perif vowel		2	12		1	FALSE	FALSE	006500B0									vl	himid		front	unrnd	perif	vowel
	68	420	e	e	e	higher-mid front unrounded peripheral vowel	himid front unrnd perif vowel		1	12		124	FALSE	FALSE	0065										himid		front	unrnd	perif	vowel
	69	421	e*	e·	e·	creaky-voiced higher-mid front unrounded peripheral vowel	creaky himid front unrnd perif vowel		2	12		2	FALSE	FALSE	00650387							creaky			himid		front	unrnd	perif	vowel
	70	422	e:	e►	e►	long higher-mid front unrounded peripheral vowel	long himid front unrnd perif vowel		2	12		21	FALSE	FALSE	006525BA					long					himid		front	unrnd	perif	vowel
	71	424	e_	eˉ	eˉ	higher-mid retracted front unrounded peripheral vowel	himid retactd front unrnd perif vowel		2	12		2	FALSE	FALSE	006502C9		retactd								himid		front	unrnd	perif	vowel
	72	426	eh	e΄	e΄	breathy-voiced higher-mid front unrounded peripheral vowel	breathy himid front unrnd perif vowel		2	12		5	FALSE	FALSE	00650384							breathy			himid		front	unrnd	perif	vowel
	73	432	e~	e†	e†	nasalized higher-mid front unrounded peripheral vowel	naszd himid front unrnd perif vowel		2	12		18	FALSE	FALSE	00652020			naszd							himid		front	unrnd	perif	vowel
	74	433	e~:	e†►	e†►	long nasalized higher-mid front unrounded peripheral vowel	long naszd himid front unrnd perif vowel		2	12		2	FALSE	FALSE	0065202025BA			naszd		long					himid		front	unrnd	perif	vowel
	75	964		e¾	e¾	ad-tg-root higher-mid front peripheral unrounded vowel	atroot himid front perif unrnd vowel		2	12			FALSE	FALSE	006500BE									atroot	himid		front	unrnd	perif	vowel
	76	81	o/9	ǿſ	ǿſ	pharyngealized higher-mid front rounded vowel	pharzd himid front rounded vowel		2	13		1	FALSE	FALSE	01FF017F				pharzd						himid		front	rounded		vowel
	77	701	o/	ǿ	ǿ	higher-mid front rounded vowel	himid front rounded vowel		1	13		12	FALSE	FALSE	01FF										himid		front	rounded		vowel
	78	702	o/:	ǿ►	ǿ►	long higher-mid front rounded vowel	long himid front rounded vowel		2	13		2	FALSE	FALSE	01FF25BA					long					himid		front	rounded		vowel
	79	703	o/S	ǿ˘	ǿ˘	overshort higher-mid front rounded vowel	ovrshort himid front rounded vowel		2	13		1	FALSE	FALSE	01FF02D8					ovrshort					himid		front	rounded		vowel
	80	704	o/_	ǿˉ	ǿˉ	higher-mid retracted front rounded vowel	himid retactd front rounded vowel		2	13		1	FALSE	FALSE	01FF02C9		retactd								himid		front	rounded		vowel
	81	986		ǿ†	ǿ†	nasalized higher-mid front rounded vowel	naszd himid front rounded vowel		2	13			FALSE	FALSE	01FF2020			naszd							himid		front	rounded		vowel
	82	180	@:	E►	E►	long higher-mid central unrounded vowel	long himid central unrnd vowel		2	14		2	FALSE	FALSE	004525BA					long					himid		central	unrnd		vowel
	83	184	@~	E†	E†	nasalized higher-mid central unrounded vowel	naszd himid central unrnd vowel		2	14		2	FALSE	FALSE	00452020			naszd							himid		central	unrnd		vowel
	84	185	@~:	E†►	E†►	long nasalized higher-mid central unrounded vowel	long naszd himid central unrnd vowel		2	14		1	FALSE	FALSE	0045202025BA			naszd		long					himid		central	unrnd		vowel
	85	177	E	E	E	higher-mid central unrounded vowel	himid central unrnd vowel		2	14		0	FALSE	FALSE	0045										himid		central	unrnd		vowel
	86	922		E˘	E˘	overshort higher-mid central unrounded vowel	ovrshort himid central unrnd vowel		2	14			FALSE	FALSE	004502D8					ovrshort					himid		central	unrnd		vowel
	87	923		E²	E²	retroflexed higher-mid central unrounded vowel	retrfld himid central unrnd vowel		2	14			FALSE	FALSE	004500B2				retrfld						himid		central	unrnd		vowel
	88	14	@)S	θ˘	θ˘	overshort higher-mid central rounded vowel	ovrshort himid central rounded vowel	14	2	15		2	FALSE	FALSE	03B802D8					ovrshort					himid		central	rounded		vowel
	89	178	@)	θ	θ	higher-mid central rounded vowel	himid central rounded vowel		1	15		4	FALSE	FALSE	03B8										himid		central	rounded		vowel
	90	179	@)~	θ†	θ†	nasalized higher-mid central rounded vowel	naszd himid central rounded vowel		2	15		1	FALSE	FALSE	03B82020			naszd							himid		central	rounded		vowel
	91	943		θ►	θ►	long higher-mid central rounded vowel	long himid central rounded vowel		2	15			FALSE	FALSE	03B825BA					long					himid		central	rounded		vowel
	92	75	o(+~	ģ†º	ģ†º	nasalized advanced higher-mid back unrounded vowel	naszd advad himid back unrnd vowel		2	9		1	FALSE	FALSE	0123202000BA		advad	naszd							himid		back	unrnd		vowel
	93	76	o(:	ģ►	ģ►	long higher-mid back unrounded vowel	long himid back unrnd vowel		2	16		1	FALSE	FALSE	012325BA					long					himid		back	unrnd		vowel
	94	77	o(~	ģ†	ģ†	nasalized higher-mid back unrounded vowel	naszd himid back unrnd vowel		2	16		2	FALSE	FALSE	01232020			naszd							himid		back	unrnd		vowel
	95	694	o(	ģ	ģ	higher-mid back unrounded vowel	himid back unrnd vowel		1	16		12	FALSE	FALSE	0123										himid		back	unrnd		vowel
	96	695	o(+	ģº	ģº	advanced higher-mid back unrounded vowel	advad himid back unrnd vowel		2	9		2	FALSE	FALSE	012300BA		advad								himid		back	unrnd		vowel
	97	696	o(h	ģ΄	ģ΄	breathy-voiced higher-mid back unrounded vowel	breathy himid back unrnd vowel		2	11		3	FALSE	FALSE	01230384							breathy			himid		back	unrnd		vowel
	98	47	ho	o°	o°	voiceless higher-mid back rounded peripheral vowel	vl himid back rounded perif vowel		2	17		1	FALSE	FALSE	006F00B0									vl	himid		back	rounded	perif	vowel
	99	83	o9	oſ	oſ	pharyngealized higher-mid back rounded peripheral vowel	pharzd himid back rounded perif vowel		2	17		3	FALSE	FALSE	006F017F				pharzd						himid		back	rounded	perif	vowel
	100	84	o9:	oſ►	oſ►	long pharyngealized higher-mid back rounded peripheral vowel	long pharzd himid back8 rounded perif vowel		2	17		1	FALSE	FALSE	006F017F25BA				pharzd	long					himid		back	rounded	perif	vowel
	101	85	o9~	o†ſ	o†ſ	nasalized pharyngealized higher-mid back rounded peripheral vowel	naszd pharzd himid back rounded perif vowel		2	17		1	FALSE	FALSE	006F2020017F			naszd	pharzd						himid		back	rounded	perif	vowel
	102	89	o~*	o†·	o†·	creaky-voiced nasalized higher-mid back rounded peripheral vowel	creaky naszd himid back rounded perif vowel		2	17		1	FALSE	FALSE	006F20200387			naszd				creaky			himid		back	rounded	perif	vowel
	103	693	o	o	o	higher-mid back rounded peripheral vowel	himid back rounded perif vowel		1	17		131	FALSE	FALSE	006F										himid		back	rounded	perif	vowel
	104	699	o*	o·	o·	creaky-voiced higher-mid back rounded peripheral vowel	creaky himid back rounded perif vowel		2	17		2	FALSE	FALSE	006F0387							creaky			himid		back	rounded	perif	vowel
	105	700	o+	oº	oº	advanced higher-mid back rounded peripheral vowel	advad himid back rounded perif vowel		2	17		1	FALSE	FALSE	006F00BA		advad								himid		back	rounded	perif	vowel
	106	706	o:	o►	o►	long higher-mid back rounded peripheral vowel	long himid back rounded perif vowel		2	17		24	FALSE	FALSE	006F25BA					long					himid		back	rounded	perif	vowel
	107	707	oS	o˘	o˘	overshort higher-mid back rounded peripheral vowel	ovrshort himid back rounded perif vowel		2	17		1	FALSE	FALSE	006F02D8					ovrshort					himid		back	rounded	perif	vowel
	108	713	oh	o΄	o΄	breathy-voiced higher-mid back rounded peripheral vowel	breathy himid back rounded perif vowel		2	17		5	FALSE	FALSE	006F0384							breathy			himid		back	rounded	perif	vowel
	109	721	o~	o†	o†	nasalized higher-mid back rounded peripheral vowel	naszd himid back rounded perif vowel		2	17		27	FALSE	FALSE	006F2020			naszd							himid		back	rounded	perif	vowel
	110	722	o~:	o†►	o†►	long nasalized higher-mid back rounded peripheral vowel	long naszd himid back rounded perif vowel		2	17		4	FALSE	FALSE	006F202025BA			naszd		long					himid		back	rounded	perif	vowel
	111	985		o¾	o¾	ad-tg-root higher-mid back rounded peripheral vowel	atroot himid back rounded perif vowel		2	17			FALSE	FALSE	006F00BE									atroot	himid		back	rounded	perif	vowel
	112	12	@	∂	∂	mid central unrounded vowel	md central unrnd vowel	14	1	18		76	FALSE	FALSE	2202										04md		central	unrnd		vowel
	113	15	@.	∂²	∂²	retroflexed mid central unrounded vowel	retrfld md central unrnd vowel	14	2	18		3	FALSE	FALSE	220200B2				retrfld						04md		central	unrnd		vowel
	114	16	@:	∂►	∂►	long mid central unrounded vowel	long md central unrnd vowel	14	2	18		2	FALSE	FALSE	220225BA					long					04md		central	unrnd		vowel
	115	17	@S	∂˘	∂˘	overshort mid central unrounded vowel	ovrshort md central unrnd vowel	14	2	18		4	FALSE	FALSE	220202D8					ovrshort					04md		central	unrnd		vowel
	116	18	@~	∂†	∂†	nasalized mid central unrounded vowel	naszd md central unrnd vowel	14	2	18		12	FALSE	FALSE	22022020			naszd							04md		central	unrnd		vowel
	117	936		∂¾	∂¾	ad-tg-root mid central unrounded vowel	atroot md central unrnd vowel		2	18			FALSE	FALSE	220200BE									atroot	04md		central	unrnd		vowel
	118	196	E!	è	è	lower-mid front unrounded peripheral vowel	lomid front unrnd perif vowel		1	19		186	FALSE	FALSE	00E8										lomid		front	unrnd	perif	vowel
	119	197	E!*	è·	è·	creaky-voiced lower-mid front unrounded peripheral vowel	creaky lomid front unrnd perif vowel		2	19		3	FALSE	FALSE	00E80387							creaky			lomid		front	unrnd	perif	vowel
	120	198	E!:	è►	è►	long lower-mid front unrounded peripheral vowel	long lomid front unrnd perif vowel		2	19		14	FALSE	FALSE	00E825BA					long					lomid		front	unrnd	perif	vowel
	121	199	E!h	è΄	è΄	breathy-voiced lower-mid front unrounded peripheral vowel	breathy lomid front unrnd perif vowel		2	19		4	FALSE	FALSE	00E80384							breathy			lomid		front	unrnd	perif	vowel
	122	202	E!~	è†	è†	nasalized lower-mid front unrounded peripheral vowel	naszd lomid front unrnd perif vowel		2	19		35	FALSE	FALSE	00E82020			naszd							lomid		front	unrnd	perif	vowel
	123	203	E!~:	è†►	è†►	long nasalized lower-mid front unrounded peripheral vowel	long naszd lomid front unrnd perif vowel		2	19		4	FALSE	FALSE	00E8202025BA			naszd		long					lomid		front	unrnd	perif	vowel
	124	207	ES	è˘	è˘	overshort lower-mid front unrounded peripheral vowel	ovrshort lomid front unrnd perif vowel		2	19		1	FALSE	FALSE	00E802D8					ovrshort					lomid		front	unrnd	perif	vowel
	125	204	E)	œ	œ	lower-mid front rounded vowel	lomid front rounded vowel		1	20		8	FALSE	FALSE	0153										lomid		front	rounded		vowel
	126	205	E)~	œ†	œ†	nasalized lower-mid front rounded vowel	naszd lomid front rounded vowel		2	20		1	FALSE	FALSE	01532020			naszd							lomid		front	rounded		vowel
	127	155	3	Э	Э	lower-mid central unrounded vowel	lomid central unrnd vowel		1	21		15	FALSE	FALSE	042D										lomid		central	unrnd		vowel
	128	157	3:	Э►	Э►	long lower-mid central unrounded vowel	long lomid central unrnd vowel		2	21		0	FALSE	FALSE	042D25BA					long					lomid		central	unrnd		vowel
	129	159	3~	Э†	Э†	nasalized lower-mid central unrounded vowel	naszd lomid central unrnd vowel		2	21		3	FALSE	FALSE	042D2020			naszd							lomid		central	unrnd		vowel
	130	156	3)	ő	ő	lower-mid central rounded vowel	lomid central rounded vowel		1	22		1	FALSE	FALSE	0151										lomid		central	rounded		vowel
	131	298	^	Δ	Δ	lower-mid back unrounded vowel	lomid back unrnd vowel		1	23		10	FALSE	FALSE	0394										lomid		back	unrnd		vowel
	132	299	^h	Δ΄	Δ΄	breathy-voiced lower-mid back unrounded vowel	breathy lomid back unrnd vowel		2	23		1	FALSE	FALSE	03940384							breathy			lomid		back	unrnd		vowel
	133	300	^~	Δ†	Δ†	nasalized lower-mid back unrounded vowel	naszd lomid back unrnd vowel		2	23		1	FALSE	FALSE	03942020			naszd							lomid		back	unrnd		vowel
	134	239	O!	O	O	lower-mid back rounded peripheral vowel	lomid back rounded perif vowel		1	24		162	FALSE	FALSE	004F										lomid		back	rounded	perif	vowel
	135	240	O!*	O·	O·	creaky-voiced lower-mid back rounded peripheral vowel	creaky lomid back rounded perif vowel		2	24		3	FALSE	FALSE	004F0387							creaky			lomid		back	rounded	perif	vowel
	136	241	O!:	O►	O►	long lower-mid back rounded peripheral vowel	long lomid back rounded perif vowel		2	24		8	FALSE	FALSE	004F25BA					long					lomid		back	rounded	perif	vowel
	137	242	O!S	O˘	O˘	overshort lower-mid back rounded peripheral vowel	ovrshort lomid back rounded perif vowel		2	24		2	FALSE	FALSE	004F02D8					ovrshort					lomid		back	rounded	perif	vowel
	138	243	O!h	O΄	O΄	breathy-voiced lower-mid back rounded peripheral vowel	breathy lomid back rounded perif vowel		2	24		4	FALSE	FALSE	004F0384							breathy			lomid		back	rounded	perif	vowel
	139	247	O!~	O†	O†	nasalized lower-mid back rounded peripheral vowel	naszd lomid back rounded perif vowel		2	24		32	FALSE	FALSE	004F2020			naszd							lomid		back	rounded	perif	vowel
	140	248	O!~:	O†►	O†►	long nasalized lower-mid back rounded peripheral vowel	long naszd lomid back rounded perif vowel		2	24		2	FALSE	FALSE	004F202025BA			naszd		long					lomid		back	rounded	perif	vowel
	141	249	O9	Oſ	Oſ	pharyngealized lower-mid back rounded peripheral vowel	pharzd lomid back rounded perif vowel		2	24		2	FALSE	FALSE	004F017F				pharzd						lomid		back	rounded	perif	vowel
	142	250	O9~:	O†ſ►	O†ſ►	long nasalized pharyngealized lower-mid back rounded peripheral vowel	long naszd pharzd lomid back rounded perif vowel		2	24		1	FALSE	FALSE	004F2020017F25BA			naszd	pharzd	long					lomid		back	rounded	perif	vowel
	143	326	aa	æ	æ	raised-low front unrounded peripheral vowel	raidlo front unrnd perif vowel		1	25		39	FALSE	FALSE	00E6										raidlo		front	unrnd	perif	vowel
	144	327	aa9	æſ	æſ	pharyngealized raised-low front unrounded peripheral vowel	pharzd raidlo front unrnd perif vowel		2	25		1	FALSE	FALSE	00E6017F				pharzd						raidlo		front	unrnd	perif	vowel
	145	328	aa:	æ►	æ►	long raised-low front unrounded peripheral vowel	long raidlo front unrnd perif vowel		2	25		8	FALSE	FALSE	00E625BA					long					raidlo		front	unrnd	perif	vowel
	146	331	aa~	æ†	æ†	nasalized raised-low front unrounded peripheral vowel	naszd raidlo front unrnd perif vowel		2	25		10	FALSE	FALSE	00E62020			naszd							raidlo		front	unrnd	perif	vowel
	147	160	4	á	á	raised-low central unrounded vowel	raidlo central unrnd vowel		1	26		14	FALSE	FALSE	00E1										raidlo		central	unrnd		vowel
	148	163	49	áſ	áſ	pharyngealized raised-low central unrounded vowel	pharzd raidlo central unrnd vowel		2	26		1	FALSE	FALSE	00E1017F				pharzd						raidlo		central	unrnd		vowel
	149	164	4S	á˘	á˘	overshort raised-low central unrounded vowel	ovrshort raidlo central unrnd vowel		2	26		1	FALSE	FALSE	00E102D8					ovrshort					raidlo		central	unrnd		vowel
	150	948		á►	á►	long raised-low central unrounded vowel	long raidlo central unrnd vowel		2	26			FALSE	FALSE	00E125BA					long					raidlo		central	unrnd		vowel
	151	165	4_	A»	A»	raised-low back unrounded vowel	raidlo back unrnd vowel		1	27		1	FALSE	FALSE	004100BB										raidlo		back	unrnd		vowel
