								
	CodeStat	NomValeurStat	SelecteSup	SelecteInf	Selecte1Sup	Selecte1Inf		NomValeurStat Anglais
	3315	nasal glottal	0	0	0	0		
	3316	nasal laryngeal	0	0	0	0		
	3350	nasal aspirated	0	0	0	0		
	3351	nasal breathy-voiced	0	0	0	0		
	3352	nasal creaky-voiced	0	0	0	0		
	3353	nasal ejective	0	0	0	0		
	3354	nasal glottalized	0	0	0	0		
	3355	nasal labialized	0	0	0	0		
	3356	nasal lateral-release	0	0	0	0		
	3357	nasal long	0	0	0	0		
	3358	nasal nasal-release	0	0	0	0		
	3359	nasal palatalized	0	0	0	0		
	3360	nasal pharyngealized	0	0	0	0		
	3361	nasal preaspirated	0	0	0	0		
	3362	nasal preglottalized	0	0	0	0		
	3363	nasal prenasalized	0	0	0	0		
	3364	nasal prestopped	0	0	0	0		
	3365	nasal sibilant	0	0	0	0		
	3366	nasal velar-fricated	0	0	0	0		
	3367	nasal velarized	0	0	0	0		
	3368	nasal voiced	0	0	0	0		
	3369	nasal voiceless	0	0	0	0		
	3370	nasal with-breathy-release	0	0	0	0		
	3400	trill	0	0	0	0		
	3401	trill bilabial	0	0	0	0		
	3402	trill labiodental	0	0	0	0		
	3403	trill labial-palatal	0	0	0	0		
	3404	trill labial-velar	0	0	0	0		
	3405	trill dental	0	0	0	0		
	3406	trill alveolar	0	0	0	0		
	3407	trill postalveolar	0	0	0	0		
	3408	trill retroflex	0	0	0	0		
	3409	trill palatal	0	0	0	0		
	3410	trill velar	0	0	0	0		
	3411	trill velar-alveolar	0	0	0	0		
	3412	trill uvular	0	0	0	0		
	3413	trill pharyngeal	0	0	0	0		
	3414	trill epiglottal	0	0	0	0		
	3415	trill glottal	0	0	0	0		
	3416	trill laryngeal	0	0	0	0		
	3450	trill aspirated	0	0	0	0		
	3451	trill breathy-voiced	0	0	0	0		
	3452	trill creaky-voiced	0	0	0	0		
	3453	trill ejective	0	0	0	0		
	3454	trill glottalized	0	0	0	0		
	3455	trill labialized	0	0	0	0		
	3456	trill lateral-release	0	0	0	0		
	3457	trill long	0	0	0	0		
	3458	trill nasal-release	0	0	0	0		
	3459	trill palatalized	0	0	0	0		
	3460	trill pharyngealized	0	0	0	0		
	3461	trill preaspirated	0	0	0	0		
	3462	trill preglottalized	0	0	0	0		
	3463	trill prenasalized	0	0	0	0		
	3464	trill prestopped	0	0	0	0		
	3465	trill sibilant	0	0	0	0		
	3466	trill velar-fricated	0	0	0	0		
	3467	trill velarized	0	0	0	0		
	3468	trill voiced	0	0	0	0		
	3469	trill voiceless	0	0	0	0		
	3470	trill with-breathy-release	0	0	0	0		
	3500	tap	0	0	0	0		
	3501	tap bilabial	0	0	0	0		
	3502	tap labiodental	0	0	0	0		
