							
	Nom	Famille	Code	NbSegment	Selecte	Selecte1	CodeBase
	BURARRA	Australian, Burarran	8352	21	FALSE	FALSE	10
	BURMESE	Sino-Tibetan, Lolo-Burmese	2509	46	FALSE	FALSE	10
	BURUSHASKI	Isolates, Burushaski	2715	43	FALSE	FALSE	10
	CACUA	South-American, Macro-Tucanoan	6864	22	FALSE	FALSE	10
	CADDO	North-American, Keresiouan	6775	23	FALSE	FALSE	10
	CAMPA	South-American, Macro-Arawakan	6825	19	FALSE	FALSE	10
	CAMSA	South-American, Equatorial	6863	28	FALSE	FALSE	10
	CARIB	South-American, Macro-Carib	6807	22	FALSE	FALSE	10
	CAYAPA	South-American, Paezan	6803	28	FALSE	FALSE	10
	CAYUVAVA	South-American, Equatorial	6840	33	FALSE	FALSE	10
	CENTRAL GUR	Niger-Kordofanian, Voltaic	1038	34	FALSE	FALSE	20
	CENTRAL-KHOISAN	Khoisan, Central-Khoisan	1056	39	FALSE	FALSE	20
	CHADIC	Afro-Asiatic, Chadic	1083	33	FALSE	FALSE	20
	CHAM	Austro-Tai, Austronesian, West-Malayo-Polynesian	2411	32	FALSE	FALSE	10
	CHAMORRO	Austro-Tai, Austronesian, West-Malayo-Polynesian	2416	26	FALSE	FALSE	10
	CHANGZHOU	Sino-Tibetan, Sinitic	2503	34	FALSE	FALSE	10
	CHATINO	North-American, Oto-Manguean	6729	25	FALSE	FALSE	10
	CHEROKEE	North-American, Keresiouan, Iroquoian	6781	17	FALSE	FALSE	10
	CHIAPANEC MANGUEAN	North-American, Oto-Manguean	1072	23	FALSE	FALSE	20
	CHIBCHA	South-American, Chibchan	1111	26	FALSE	FALSE	20
	CHIMAKUAN	North-American, Almosan	1099	39	FALSE	FALSE	20
	CHINANTECAN	North-American, Oto-Manguean	1077	28	FALSE	FALSE	20
	CHIPEWYAN	Na-Dene, Athabaskan	6106	52	FALSE	FALSE	10
	CHUAVE	Papuan, Trans-New-Guinea	8611	17	FALSE	FALSE	10
	CHUKCHI	Chukchi-Kamchatkan	2708	22	FALSE	FALSE	10
	CHUKOTKO-KAMCHATKAN	Chukchi-Kamchatkan	1113	25	FALSE	FALSE	20
	CHUVASH	Ural-Altaic, Turkic	2160	30	FALSE	FALSE	10
	COFAN	South-American, Equatorial	6836	35	FALSE	FALSE	10
	COMMON BERBER	Afro-Asiatic, Berber	1081	20	FALSE	FALSE	22
	COMMON NORDIC	Indo-European, Germanic, North	1045	42	FALSE	FALSE	20
	COPTIC	Afro-Asiatic, Ancient-Egyptian	1106	27	FALSE	FALSE	20
	CUBEO	South-American, Macro-Tucanoan	6846	23	FALSE	FALSE	10
	CUNA	South-American, Chibchan	6857	21	FALSE	FALSE	10
	CUSHITIC	Afro-Asiatic, Cushitic	1062	50	FALSE	FALSE	20
	DADIBI	Papuan, Trans-New-Guinea	8616	23	FALSE	FALSE	10
	DAFLA	Sino-Tibetan, Himalayic	2508	24	FALSE	FALSE	10
	DAGBANI	Niger-Kordofanian, Voltaic	4110	29	FALSE	FALSE	10
	DAGUR	Ural-Altaic, Mongolian	2176	29	FALSE	FALSE	10
	DAHALO	Afro-Asiatic, Cushitic	4372	59	FALSE	FALSE	10
	DAJU	Nilo-Saharan, East-Sudanic	4225	30	FALSE	FALSE	10
	DAKOTA	North-American, Keresiouan	6756	36	FALSE	FALSE	10
	DAN	Niger-Kordofanian, Mande	4106	39	FALSE	FALSE	10
	DANGALEAT	Afro-Asiatic, Chadic	4374	28	FALSE	FALSE	10
	DANI	Papuan, Trans-New-Guinea	8613	24	FALSE	FALSE	10
	DERA	Papuan, Trans-New-Guinea	8619	17	FALSE	FALSE	10
	DIEGUENO	North-American, Hokan	6743	34	FALSE	FALSE	10
	DINKA	Nilo-Saharan, East-Sudanic, Nilotic, Dinka-Nuer	4226	32	FALSE	FALSE	10
	DIOLA	Niger-Kordofanian, West-Atlantic	4108	29	FALSE	FALSE	10
	DIYARI	Australian, Pama-Nyungan	8367	25	FALSE	FALSE	10
	DIZI	Afro-Asiatic, Omotic	4363	30	FALSE	FALSE	10
	DOAYO	Niger-Kordofanian, Adamawa	4128	34	FALSE	FALSE	10
	DOGON	Niger-Kordofanian, Dogon	4170	28	FALSE	FALSE	10
	DRAVIDIAN	Dravidian	1012	26	FALSE	FALSE	20
	DYIRBAL	Australian, Pama-Nyungan	8371	16	FALSE	FALSE	10
	EARLY PROTO FINNIC	Ural-Altaic, Finno-Ugric	1065	29	FALSE	FALSE	20
	EAST TARIKU	Papuan, Geelvink-Bay	1031	12	FALSE	FALSE	20
	EDOID	Niger-Kordofanian, Kwa	1060	42	FALSE	FALSE	20
	EFIK	Niger-Kordofanian, Cross-River	4119	20	FALSE	FALSE	10
	EJAGHAM	Niger-Kordofanian, Bantoid	4125	27	FALSE	FALSE	10
	EKARI	Papuan, Trans-New-Guinea	8650	15	FALSE	FALSE	10
	EPENA PEDEE	South-American, Paezan	6811	31	FALSE	FALSE	10
	ESKIMO	Eskimo-Aleut, Eskimo	1007	19	FALSE	FALSE	20
	ESKIMO-ALEUT	Eskimo-Aleut	1112	22	FALSE	FALSE	20
	EVEN	Ural-Altaic, Tungus	2167	27	FALSE	FALSE	10
	EWE	Niger-Kordofanian, Kwa	4114	40	FALSE	FALSE	10
	EWONDO	Niger-Kordofanian, Bantoid	4141	34	FALSE	FALSE	10
	EYAK	Na-Dene, Eyak	6109	45	FALSE	FALSE	10
	FARSI	Indo-European, Iranian	2013	30	FALSE	FALSE	10
	FASU	Papuan, Trans-New-Guinea	8617	21	FALSE	FALSE	10
	FE?FE?	Niger-Kordofanian, Bantoid	4148	25	FALSE	FALSE	10
	FIJIAN	Austro-Tai, Austronesian, East-Malayo-Polynesian	2439	30	FALSE	FALSE	10
	FINNISH	Ural-Altaic, Finno-Ugric, Finnic	2153	25	FALSE	FALSE	10
	FINNO-PERMIC	Ural-Altaic, Finno-Ugric	1090	32	FALSE	FALSE	20
	FINNO-UGRIC	Ural-Altaic, Finno-Ugric	1068	33	FALSE	FALSE	20
	FRENCH	Indo-European, Romance	2010	37	FALSE	FALSE	10
	FUR	Nilo-Saharan, Fur	4203	30	FALSE	FALSE	10
	FUZHOU	Sino-Tibetan, Sinitic	2505	21	FALSE	FALSE	10
	GA	Niger-Kordofanian, Kwa	4117	41	FALSE	FALSE	10
	GADSUP	Papuan, Trans-New-Guinea	8608	15	FALSE	FALSE	10
	GARAWA	Australian, Garawan	8345	22	FALSE	FALSE	10
	GBAYA	Niger-Kordofanian, Ubangi	1093	42	FALSE	FALSE	20
	GBEYA	Niger-Kordofanian, Ubangi-East	4129	43	FALSE	FALSE	10
	GELAO	Austro-Tai, Lati-Gelao	2436	43	FALSE	FALSE	10
	GEORGIAN	Caucasian	2600	34	FALSE	FALSE	10
	GERMAN	Indo-European, Germanic, West	2004	41	FALSE	FALSE	10
	GERMANIC	Indo-European, Germanic	1046	9	FALSE	FALSE	21
	GOROKAN	Papuan, Trans-New-Guinea	1095	13	FALSE	FALSE	20
	GREEK	Indo-European, Greek	2000	26	FALSE	FALSE	10
	GUAHIBAN	South-American, Macro-Arawakan	1118	22	FALSE	FALSE	20
	GUAHIBO	South-American, Macro-Arawakan	6830	29	FALSE	FALSE	10
	GUAJIRO	South-American, Macro-Arawakan	6826	26	FALSE	FALSE	10
	GUAMBIANO	South-American, Paezan	6862	24	FALSE	FALSE	10
	GUANG	Niger-Kordofanian, Voltaic	1103	31	FALSE	FALSE	20
	GUARANI	South-American, Equatorial	6828	36	FALSE	FALSE	10
	GUGU-YALANDYI	Australian, Pama-Nyungan	8364	16	FALSE	FALSE	10
	GWARI	Niger-Kordofanian, Kwa	4140	26	FALSE	FALSE	10
	HADZA	Khoisan, Hadza	4900	62	FALSE	FALSE	10
	HAIDA	Na-Dene, Haida	6100	49	FALSE	FALSE	10
	HAKKA	Sino-Tibetan, Sinitic	2502	22	FALSE	FALSE	10
	HAMER	Afro-Asiatic, Omotic	4365	35	FALSE	FALSE	10
	HAUSA	Afro-Asiatic, Chadic	4366	38	FALSE	FALSE	10
	HAWAIIAN	Austro-Tai, Austronesian, East-Malayo-Polynesian, Oceanic, Polynesian	2424	13	FALSE	FALSE	10
	HIGHLAND CHINANTEC	North-American, Oto-Manguean	6786	41	FALSE	FALSE	10
	HINDI-URDU	Indo-European, Indic	2016	61	FALSE	FALSE	10
	HIXKARYANA	South-American, Macro-Carib	6842	23	FALSE	FALSE	10
	HMONG	Sino-Tibetan, Hmong-Mien	2519	56	FALSE	FALSE	10
	HOPI	North-American, Uto-Aztecan	6738	28	FALSE	FALSE	10
	HUARI	South-American, Macro-Tucanoan	6841	32	FALSE	FALSE	10
	HUASTECO	North-American, Penutian	6776	26	FALSE	FALSE	10
	HUAVE	North-American, Penutian	6716	29	FALSE	FALSE	10
	HUNGARIAN	Ural-Altaic, Finno-Ugric, Ugric	2154	40	FALSE	FALSE	10
	HUON GULF	Austro-Tai, Austronesian, East-Malayo-Polynesian	1026	21	FALSE	FALSE	22
	HUPA	Na-Dene, Athabaskan	6105	35	FALSE	FALSE	10
	IAI	Austro-Tai, Austronesian, East-Malayo-Polynesian	2422	52	FALSE	FALSE	10
	IATE	South-American, Macro-Ge	6870	30	FALSE	FALSE	10
	IBAN	Austro-Tai, Austronesian, West-Malayo-Polynesian	2435	25	FALSE	FALSE	10
	IGBO	Niger-Kordofanian, Kwa	4116	59	FALSE	FALSE	10
	IJO	Niger-Kordofanian, Kwa	1015	30	FALSE	FALSE	20
	IK	Nilo-Saharan, East-Sudanic	4208	44	FALSE	FALSE	10
	INDO-EUROPEAN	Indo-European	1051	38	FALSE	FALSE	20
	INUIT	Eskimo-Aleut, Eskimo	6901	22	FALSE	FALSE	10
	IRANXE	South-American, Macro-Tucanoan	6845	39	FALSE	FALSE	10
