BdprotoID,LanguageName,SourceLanguageName,LanguageFamily,LanguageFamilyRoot,Glottocode,FamilyID,Type,Macroarea,Dates,DatesSource,InventoryType,TimeDepth,TimeDepthYBP,HomelandLatitude,HomelandLongitude,HomelandSource,HomelandComments,BibtexKey,Source,Comments
95,Proto-Paman,Proto-Paman,Paman,Pama-Nyungan,pama1251,pama1250,Reconstructed,Australia,,,all,,,,,,,hale1966,HUJI,
98,Proto-Khanty,Proto-Khanty,Khantyic,Uralic,khan1279,ural1272,Reconstructed,Eurasia,,,all,,,,,,,sammallahti1988,HUJI,
99,Proto-Mansi,Proto-Mansi,Mansic,Uralic,mans1269,ural1272,Reconstructed,Eurasia,,,all,,,,,,,sammallahti1988,HUJI,
100,Proto-Samoyedic,Proto-Samoyedic,Samoyedic,Uralic,samo1298,ural1272,Reconstructed,Eurasia,,,all,,,,,,,sammallahti1988,HUJI,As reported and adapted in Kuemmel
101,Proto-Semitic,Proto-Semitic,Semitic,Afro-Asiatic,semi1276,afro1255,Reconstructed,Eurasia,,,consonants only,,,,,,,,HUJI,"not sure of the source, have to check"
102,Proto-Eskimo-Aleut,Proto-Eskimo-Aleut,Eskimo-Aleut,Eskimo-Aleut,eski1264,eski1264,Reconstructed,North America,,,all,,,63.69,-170.48,Wichmann_etal2010,,"Campbell1997,Bergsland1986",HUJI,Campbell1997: 108
103,Proto-Athabaskan,Proto-Athabaskan,Athabaskan,Athabaskan-Eyak-Tlingit,atha1247,algi1248,Reconstructed,North America,,,consonants only,,3500,,,,,"Campbell1997,KraussGolla1981,Kraus1979,CookRice1989",HUJI,Campbell1997: 112
104,Proto-Chimakuan,Proto-Chimakuan,Chimakuan,Chimakuan,chim1311,chim1311,Reconstructed,North America,,,all,,,,,,,"Campbell1997,Powell1993",HUJI,Campbell1997: 116
105,Proto-Takelman,Proto-Takelman,Takelman,Takelman,take1257,take1257,Reconstructed,North America,,,all,,,,,,,"Campbell1997,Berman1990,Shipley1970",HUJI,Campbell1997: 120
110,Proto-Wintun,Proto-Wintun,Wintuan,Wintuan,wint1259,wint1258,Reconstructed,North America,,,all,,,,,,,"Shepherd2006,Campbell1997",HUJI,Didn't find Shepherd2006 in the squibs folder; Campbell1997: 128
111,Proto-Miwokan,Proto-Miwokan,Miwokan ,Miwok-Costanoan,miwo1275,miwo1274,Reconstructed,North America,,,all,,2500,,,,,"Campbell1997,Cahallagan1967",HUJI,Campbell1997: 129. Cahallagan1967
112,Proto-Costanoan,Proto-Costanoan,Costanoan,Miwok-Costanoan,cost1250,miwo1274,Reconstructed,North America,,,all,,,,,,,"Campbell1997,Cahallagan1967",HUJI,Campbell1997: 129. Cahallagan1967
113,Proto-Miwok-Costanoan,Proto-Miwok-Costanoan,Miwok-Costanoan,Miwok-Costanoan,miwo1274,miwo1274,Reconstructed,North America,,,all,,,,,,,"Campbell1997,Callghan1967",HUJI,Campbell1997: 131. Callghan1967
114,Proto-Yokuts,Proto-Yokutsan,Yokutsan,Yokutsan,yoku1255,yoku1255,Reconstructed,North America,,,all,,,,,,,"Campbell1997,Callghan1997",HUJI,Campbell1997: 131
115,Proto-Uto-Aztecan,Proto-Uto-Aztecan,Uto-Aztecan,Uto-Aztecan,utoa1244,utoa1244,Reconstructed,North America,,,all,,,27.5,-110.25,Wichmann_etal2010,,Campbell1997,HUJI,Campbell1997: 136
116,Proto-Keresan,Proto-Keresan,Keresan,Keresan,kere1287,kere1287,Reconstructed,North America,,,all,,,,,,,Campbell1997,HUJI,Campbell1997: 138
117,Proto-Kiowa-Tanoan,Proto-Kiowa-Tanoan,Kiowa-Tanoan,Kiowa-Tanoan,kiow1266,kiow1265,Reconstructed,North America,,,consonants only,,,,,,,"Hale1967,Campbell1997,Sutton2014",HUJI,Campbell1997: 139
118,Proto-Muskogean,Proto-Muskogean,Muskogean,Muskogean,musk1252,musk1252,Reconstructed,North America,,,all,,,34,-85,Wichmann_etal2010,,Campbell1997,HUJI,Campbell1997: 147-148
121,Proto-Huavean,Proto-Huave,Huavean,Huavean,huav1256,huav1256,Reconstructed,North America,,,all,,,,,,,suarez1975,HUJI,in Campbell1977: 161; see also Noyer 2014
122,Proto-Mayan,Proto-Mayan,Mayan,Mayan,maya1287,maya1287,Reconstructed,North America,,,all,,,15.42,-91.83,Wichmann_etal2010,,CampbellKaufman1985,HUJI,
135,Proto-Tibeto-Burman,Proto-Tibeto-Burman,Tibeto-Burman,Sino-Tibetan,NA,sino1245,Reconstructed,Eurasia,,,all,,,,,,,,HUJI,
136,Proto-Southern-Cushitic,Proto-Southern-Cushitic,Cushitic,Afro-Asiatic,sout3054,afro1255,Reconstructed,Africa,,,all,,,,,,,ehret1980,HUJI,
137,Proto-Nicobar,Proto-Nicobar,Nicobaric,Austroasiatic,nico1262,aust1305,Reconstructed,Eurasia,,,all,,,,,,,sidwellrau2014,HUJI,"check sidwellrau2014, no pdf or book available right now"
145,Proto-Pearic,Proto-Pearic,Pearic,Austroasiatic,pear1246,aust1305,Reconstructed,Eurasia,,,all,,,,,,,sidwellrau2014,HUJI,
146,Proto-Vietic,Proto-Vietic,Vietic,Austroasiatic,viet1250,aust1305,Reconstructed,Eurasia,,,all,,,,,,,sidwellrau2014,HUJI,
147,Proto-Munda,Proto-Munda,Mundaric,Austroasiatic,mund1335,aust1305,Reconstructed,Eurasia,,,consonants only,,,,,,,sidwellrau2014,HUJI,
148,Proto-Nilo-Saharan,Proto-Nilo-Saharan,Nilo-Saharan,Nilo-Saharan,NA,NA,Reconstructed,Africa,,,all,,,,,,,Ehret 2001,HUJI,
150,Proto-West Oceanic Linkage,Proto-Kimbe,Malayo-Polynesian,Austronesian,west2818,aust1307,Reconstructed,Papunesia,,,consonants only,3600-2600,,,,,central north coast of New Britain,goodenough1997,HUJI,
151,Proto-Nakanai,Proto-Nakanai,Malayo-Polynesian,Austronesian,naka1262,aust1307,Reconstructed,Papunesia,,,consonants only,,,,,,,goodenough1997,HUJI,
152,Proto-Willaumez,Proto-Willaumez,Malayo-Polynesian,Austronesian,will1243,aust1307,Reconstructed,Papunesia,,,consonants only,,,,,,,goodenough1997,HUJI,
153,Old Egyptian,Old Egyptian,Egyptian,Afro-Asiatic,egyp1246,afro1255,Attested,Eurasia,5-4.5K,,consonants only,4200,,,,,,kammerzell1998,HUJI,
154,Proto-Egyptian,Proto-Egyptian,Egyptian,Afro-Asiatic,egyp1245,afro1255,Reconstructed,Africa,,,consonants only,5000,,,,,,kammerzell1998,HUJI,
155,Proto-Palaihnihan,Proto-Palaihnihan,Palaihnihan,Palaihnihan,pala1350,pala1350,Reconstructed,North America,,,all,,,,,,,goodetal2003,HUJI,
156,Proto-Bungku-Tolaki,Proto-Bungku-Tolaki,Malayo-Polynesian,Austronesian,bung1268,aust1307,Reconstructed,Papunesia,,,all,,,,,,,Mead1998,HUJI,
157,Proto-Kanyara,Proto-Kanyara,South-West Pama-Nyungan,Pama-Nyungan,kany1246,pama1250,Reconstructed,Australia,,,all,,,,,,,Austin1981,HUJI,
158,Proto-Iwaidjan,Proto-Iwaidjan,Iwaidjan,Iwaidjan,iwai1246,iwai1246,Reconstructed,Australia,,,all,,,,,,,MailhammerHarvey2018,HUJI,
159,Proto-Nyulnyulan,Proto-Nyulnyulan,Nyulnyulan,Nyulnyulan,nyul1248,nyul1248,Reconstructed,Australia,,,all,,,,,,,StokesMcGregor,HUJI,
160,Proto-Northwest Semitic,Proto-Northwest Semitic,Semitic,Afro-Asiatic,nort3165,afro1255,Reconstructed,Eurasia,,,consonants only,,,,,,,Huehnegard2007,HUJI,
161,Proto-Eastern-Oceanic,Proto-Eastern-Oceanic,Malayo-Polynesian,Austronesian,NA,aust1307,Reconstructed,Papunesia,,,all,,,,,,,Geraghty1983,HUJI,
162,Proto-Koman,Proto-Koman,Koman,Koman,koma1264,koma1264,Reconstructed,Africa,,,all,,,,,,,Bender1983,HUJI,
163,Proto-Zapotec,Proto-Zapotec,Zapotecan,Otomanguean,zapo1436,otom1299,Reconstructed,North America,,,all,,,,,,,Suarez 1973,HUJI,"Looks like this is Zapotec, but may be Zapotecan (i.e., includes Chatino)"
164,Proto-Boran,Proto Bora-Muinane,Boran,Boran,bora1263,bora1262,Reconstructed,South America,,,all,,,,,,NW Amazon (in the region of Caquetá and Putumayo Rivers in Colombia),SeifartEcheverri2015,HUJI,
165,Proto-Irish,Proto-Irish,Celtic,Indo-European,NA,indo1319,Reconstructed,Eurasia,,,consonants only,,,,,,,,HUJI,
166,Proto-Gunwinyguan,Proto-Gunwinyguan,Gunwinyguan,Gunwinyguan,gunw1250,gunw1250,Reconstructed,Australia,,,all,,,,,,,harvey2003,HUJI,
167,Attic Greek,Attic Greek,Graeco-Phrygian,Indo-European,atti1240,indo1319,Attested,,,,consonants only,,,,,,Greece,woodward2008attic,HUJI,
168,Classical Latin,Classical Latin,Italic,Indo-European,lati1261,indo1319,Attested,Eurasia,,,all,,2100,,,,Italy,clackson2008,HUJI,
169,Oscan,Oscan,Indo-European,Indo-European,osca1245,indo1319,Attested,Eurasia,,,consonants only,,,,,,Italy,wallace2008oscan,HUJI,
171,Avestan,Avestan,Indo-European,Indo-European,aves1237,indo1319,Attested,Eurasia,,,all,,3000,,,,Iran,hale2008avestan,HUJI,
172,Pahlavi,Pahlavi,Indo-European,Indo-European,pahl1241,indo1319,Attested,Eurasia,,,all,,2300,,,,Iran,hale2008pahlavi,HUJI,
174,Old Mayan,Old Mayan,Mayan,Mayan,maya1287,maya1287,Attested,North America,,,all,,,15.42,-91.83,Wichmann_etal2010,Mesoamerica,bricker2008mayan,HUJI,
176,Early Georgian,Early Georgian,Kartvelian,Kartvelian,oldg1234,kart1248,Attested,Eurasia,,,all,,2500,,,,Georgia,tuite2008georgian,HUJI,
177,Proto-Engan-Kewa-Huli,Proto-Engan,Nuclear Trans New Guinea,Nuclear Trans New Guinea,enga1254,nucl1709,Reconstructed,Papunesia,,,all,,,,,,,usher2020,HUJI,
178,Proto-Anim,Proto-Anim,Anim,Anim,anim1240,anim1240,Reconstructed,Papunesia,,,all,,,,,,,ushersuter2015,HUJI,
179,Proto-Marind-Yaqay,Proto-Marind-Yaqay,Marind-Boazi-Yaqai,Anim,mari1437,anim1240,Reconstructed,Papunesia,,,all,,,,,,,ushersuter2015,HUJI,
180,Proto-Boazi,Proto-Lake Murray,Marind-Boazi-Yaqai,Anim,boaz1244,anim1240,Reconstructed,Papunesia,,,all,,,,,,,ushersuter2015,HUJI,Glottolog calls Boazi what Usher & Suter call Lake Murray
181,Proto-Nuclear Tirio,Proto-Lower Fly,Tirio,Anim,nucl1713,anim1240,Reconstructed,Papunesia,,,all,,,,,,,ushersuter2015,HUJI,Glottolog calls Nuclear Tirio what Usher & Suter call Lower Fly
