BdprotoID,LanguageName,Glottocode,Duplicate,Notes
1057,MAYAN,maya1287,TRUE,
1058,KATUIC,katu1271,FALSE,
1059,AUSTRALIAN,NA,FALSE,
1060,EDOID,edoi1239,FALSE,
1061,AFRO-ASIATIC,afro1255,FALSE,
1062,CUSHITIC,cush1243,FALSE,
1063,LOWER SEPIK,lowe1437,FALSE,
1064,TAKANAN,taca1255,FALSE,
1065,EARLY PROTO FINNIC,finn1317,FALSE,
1066,LAPP,saam1281,TRUE,
1067,TAI,taik1256,FALSE,
1068,FINNO-UGRIC,NA,FALSE,Is this right?
1069,UTO-AZTECAN,utoa1244,TRUE,
1070,MIXTECAN,mixt1422,FALSE,
1071,POPOLOCAN,popo1293,FALSE,
1072,CHIAPANEC MANGUEAN,mang1426,FALSE,
1073,OTOMI,otom1300,FALSE,
1076,ZAPOTECAN,zapo1436,TRUE,
1077,CHINANTECAN,chin1484,FALSE,
1078,ZOQUEAN,mixe1284,TRUE,
1079,TOTONOCAN,toto1251,TRUE,
1080,SEMITIC,semi1276,TRUE,
1081,COMMON BERBER,berb1260,TRUE,Triplicate
1082,LOLO-BURMESE,lolo1265,FALSE,
1083,CHADIC,chad1250,FALSE,
1084,URALIC,ural1272,TRUE,
1085,SAMOYED,samo1298,TRUE,
1089,OB UGRIC,khan1273,FALSE,
1090,FINNO-PERMIC,NA,FALSE,Is this right?
1092,SARA BONGO BAGUIRMIAN,sara1341,FALSE,
1093,GBAYA,gbay1279,FALSE,
1094,BANTU,narr1281,FALSE,
1095,GOROKAN,goro1272,FALSE,
1096,OTO-MANGUEAN,otom1299,FALSE,
1097,ALGONQUIAN,algo1256,TRUE,
1098,SALISH,sali1255,TRUE,
1099,CHIMAKUAN,chim1311,TRUE,
1100,PAMAN,pama1251,TRUE,
1101,PROTO-JAPANESE,nucl1643,FALSE,
1102,PRE NIZAA,suga1248,FALSE,
1103,GUANG,guan1278,FALSE,
1104,ATTIC,atti1238,FALSE,
1105,PROTO-VIETNAMESE,viet1252,FALSE,
1106,COPTIC,copt1239,FALSE,
1107,MICRONESIAN,micr1243,FALSE,
1108,MAIDUN,maid1262,TRUE,
1109,KERESAN,kere1287,TRUE,
1110,ATHAPASKAN,atha1247,TRUE,
1111,CHIBCHA,chib1249,FALSE,
1112,ESKIMO-ALEUT,eski1264,TRUE,
1113,CHUKOTKO-KAMCHATKAN,chuk1271,FALSE,
1114,URALO-SIBERIAN,NA,FALSE,Is this right?
1115,PROTO-POMO,pomo1273,FALSE,
1116,ARAWAKAN,araw1281,FALSE,
1117,TUCANOAN,tuca1253,TRUE,
1118,GUAHIBAN,guah1252,FALSE,
1119,TUPI-GUARANI,tupi1275,TRUE,
2000,Akkadian,akka1240,FALSE,
2001,Hittite,hitt1242,FALSE,
2002,Ancient North Arabian,anci1245,FALSE,
2003,Aramaic,aram1259,FALSE,
2004,Elamite,elam1244,FALSE,
2005,Avestan,aves1237,FALSE,
2006,Classical Armenian,clas1249,FALSE,
2007,Middle Egyptian,NA,FALSE,
2008,Hattic,hatt1246,FALSE,
2009,Hurrian,hurr1240,FALSE,
2010,Kassite,kass1244,FALSE,
2011,Palaic,pala1331,FALSE,
2012,Old Persian,oldp1255,FALSE,
2013,Phrygian,phry1239,TRUE,
2014,Phrygian,phry1239,TRUE,
2015,Old South Arabic,sayh1236,FALSE,
2016,Sumerian,sume1241,TRUE,
2017,Ugaritic,ugar1238,FALSE,
2018,Urartian,urar1245,FALSE,
2019,Luwian,cune1239,FALSE,
2020,Phoenician,phoe1239,FALSE,
