BdprotoID	LanguageName	GlottologID	GlottologNotes	LanguageFamilyRoot	Family	Classification	TimeDepthInventorySource	TimeDepthDateSource	TimeDepth	"Homeland Data"	Url	FileName	Notes	NotesPatrick	InventorySource	DateSource	HomelandSource
1062	CUSHITIC	cush1243		afas	Afro-Asiatic	"Afro-Asiatic, Cushitic"		"<8500 bp"	-8500		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1062	LG1062.txt			ehret1995reconstructing	fahmy2011windows	
1012	DRAVIDIAN	drav1251		drav	Dravidian	Dravidian		"as late as 4000 bce"	-6000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1012	LG1012.txt		"no squib"	krishnamurti1961	steever1998dravidian	
1065	"EARLY PROTO FINNIC"	finn1317		urlc	Ural-Altaic	"Ural-Altaic, Finno-Ugric"	"1500-1000 BC"		-3500		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1065	LG1065.txt			korhonen1988		
1031	"EAST TARIKU"	east2502		papt	Papuan	"Papuan, Geelvink-Bay"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1031	LG1031.txt			clouse1996		
1060	EDOID	edoi1239		nkrd	Niger-Kordofanian	"Niger-Kordofanian, Kwa"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1060	LG1060.txt			elugbe1989		
1007	ESKIMO	eski1264		eska	Eskimo-Aleut	"Eskimo-Aleut, Eskimo"	-2000		-2000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1007	LG1007.txt			michael1994		
1112	ESKIMO-ALEUT	eski1264		eska	Eskimo-Aleut	Eskimo-Aleut			-4000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1112	LG1112.txt			fortescue1998	jacobson1984central	
1029	"FAR WEST"	geel1240		papt	Papuan	"Papuan, Geelvink-Bay"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1029	LG1029.txt			clouse1996		
1090	"FINNO PERMIC"	perm1256	check	urlc	Ural-Altaic	"Ural-Altaic, Finno-Ugric"	-3500/-3000	"""division into proto-finno-premic and proto-ugric: first half of neolithic"" (p.499)"	"> -5500"		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1090	LG1090.txt		"this group is highly disputed, and the source actually describes proto-finno-ugric, not finno-permic"	sammallahti1988	sinor1988handbuch	
1068	FINNO-UGRIC	finn1317	check	urlc	Ural-Altaic	"Ural-Altaic, Finno-Ugric"			-5500		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1068	LG1068.txt		"no squib"	lako1968	sammallahti1988	
1093	GBAYA	gbaya1279		nkrd	Niger-Kordofanian	"Niger-Kordofanian, Ubangi"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1093	LG1093.txt					
1046	GERMANIC	germ1287		ieur	Indo-European	"Indo-European, Germanic"	"1st century"		-2500		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1046	LG1046.txt			antonsen1963	ringe2006proto	
1095	GOROKAN	goro1272		papt	Papuan	"Papuan, Gorokan"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1095	LG1095.txt			foley1986		
1118	GUAHIBAN	guah1252		amin	South-American	"South-American, Macro-Arawakan"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1118	LG1118.txt	"Need to do something about LanguageFamilyRoot"		matteson1972		
1103	GUANG	guan1278		nkrd	Niger-Kordofanian	"Niger-Kordofanian, Voltaic"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1103	LG1103.txt			snider1989		
1026	"HUON GULF"	huon1245		auth	Austro-Tai	"Austro-Tai, Austronesian, East-Malayo-Polynesian"			"< -3500"		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1026	LG1026.txt		p.210	holzknecht1989		
1015	IJO	ijoi1239		nkrd	Niger-Kordofanian	"Niger-Kordofanian, Kwa"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1015	LG1015.txt			williamson1979		
1051	"INDO EUROPEAN"	indo1320		ieur	Indo-European	Indo-European	-7000		-7000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1051	LG1051.txt			bomhard1990		
