BdprotoID	LanguageName	GlottologID	GlottologNotes	LanguageFamilyRoot	Family	Classification	TimeDepthInventorySource	TimeDepthDateSource	TimeDepth	"Homeland Data"	Url	FileName	Notes	NotesPatrick	InventorySource	DateSource	HomelandSource
1086	"SOUTH SAMOYED"	samo1298	check	urlc	Ural-Altaic	"Ural-Altaic, Samoyed"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1086	LG1086.txt			sammallahti1988		
1054	SUMERIAN	sume1241		http://multitree.org/codes/ncsm	Isolates	"Isolates, Syriac"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1054	LG1054.txt	"Need to fix check this LanguageFamilyRoot, but Multitree is down"		bomhard1990		
1067	TAI	taik1256		auth	Austro-Tai	"Austro-Tai, Li-Kam-Tai"			-3000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1067	LG1067.txt			li1977	enfield2013linguistic	
1064	TAKANAN	taca1255		amin	South-American	"South-American, Panoan"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1064	LG1064.txt	"Need to do something about LanguageFamilyRoot"		girard1971		
1009	"TANO CONGO"	poto1254	check	nkrd	Niger-Kordofanian	"Niger-Kordofanian, Kwa"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1009	LG1009.txt			stewart1983		
1030	TARIKU	tari1255		papt	Papuan	"Papuan, Geelvink-Bay"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1030	LG1030.txt			clouse1996		
1079	TOTONOCAN	toto1251		calp	North-American	"North-American, Penutian"			-7000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1079	LG1079.txt			longacre1967	brown2011totozoquean	
1117	TUCANOAN	tuca1253		amin	South-American	"South-American, Macro-Tucanoan"			NA	"West of the Vaupés region"	http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1117	LG1117.txt	"Need to do something about LanguageFamilyRoot"		matteson1972		aikhenvald2014global
1119	TUPI-GUARANI	tupi1275		amin	South-American	"South-American, Equatorial"			-4500		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1119	LG1119.txt	"Need to do something about LanguageFamilyRoot"		jensen1998	balee2000antiquity	
1088	UGRIC	hung1274	check	urlc	Ural-Altaic	"Ural-Altaic, Finno-Ugric"	-3500/-3000		-3000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1088	LG1088.txt			sammallahti1988		
1084	URALIC	ural1272		urlc	Ural-Altaic	"Ural-Altaic, Uralic"	"mesolithic age"		-8000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1084	LG1084.txt			sammallahti1988		
1114	URALO-SIBERIAN	ural1272	check		Macro-Family	Macro-Family	"between 8000 and 6000 BC"		-10000	"south central siberia"	http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1114	LG1114.txt	"Need to do something about LanguageFamilyRoot"		fortescue1998		fortescue1998
1069	"UTO AZTECAN"	utoa1244		nuaz	North-American	"North-American, Uto-Aztecan"	"up to 5000 years"		-7000	"border region between the USA and Mexico, namely the upland regions of Arizona and New Mexico and the adjacent areas of the Mexican states of Sonora and Chihuaua, roughly corresponding to the Sonoran Desert and the western part of the Chihuahuan Desert"	http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1069	LG1069.txt			langaker1970		
1036	VOLTA	volt1241	"We use: Volta-Congo"	nkrd	Niger-Kordofanian	"Niger-Kordofanian, Voltaic"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1036	LG1036.txt	"Link dead"		williamson1989		
1048	"WEST SAXON"	olde1238	check	ieur	Indo-European	"Indo-European, Germanic, West"			-1600		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1048	LG1048.txt			antonsen1961		
1032	"WEST TARIKU"	west2582		papt	Papuan	"Papuan, Geelvink-Bay"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1032	LG1032.txt			clouse1996		
1005	"WESTERN MALAYO POLYNESIAN"	mala1536	check	auth	Austro-Tai	"Austro-Tai, Austronesian, West-Malayo-Polynesian"			-4500		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1005	LG1005.txt			hogan1993	bellwood2007prehistory	
1008	YOKUTS	yoku1255		calp	North-American	"North-American, Penutian"			-3000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1008	LG1008.txt		"no squib"	golla1964	jones2007california	
1076	ZAPOTECAN	zapo1436		otma	North-American	"North-American, Oto-Manguean"			-2400		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1076	LG1076.txt			longacre1967	evans2013archaeology	
1078	ZOQUEAN	mixe1284		calp	North-American	"North-American, Penutian"			-1500		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1078	LG1078.txt			longacre1967		
3	PROTO-BALTO-SLAVIC	balt1263						"between 1500 and 1000 B.C."	-3000						kortlandt1979_phon	novotna2011glottochronology	
4	PROTO-SLAVIC	slav1255						"around 500 AD split of daughter languages"	-1500	"Eastern Poland and Wester Ukraine"					schenker1993proto	andersen2003language	andersen2003language
5	PROTO-CELTIC	celt1248							-3000						schrijver1995studies	gosden2014celtic	
6	PROTO-TAI	daic1237						"between one and three thousand years ago"	-1000						pittayaporn2009proto	enfield2013linguistic	
7	PROTO-TURKIC	turk1305							-2200						ronatas1998reconstruction	hruschka2015detecting	
8	PROTO-MONGOLIC	mong1329						"less than 1000 years"	-1000						jahunen2003	brown2010concise	
9	PROTO-KRA	kra1291							NA						ostapirat2000proto-kra		
10	PROTO-HLAI	nucl1241							NA						norquest2007phonological		
11	PROTO-TIBETO-BURMAN	sino1245	"We use: Sino-Tibeatan (-> but sino-tib is not the same as tibeto-burman)"						-6000	"somewhere on the Himalayan plateau, where the great rivers of East and Southeast Asia (including the Yellow, Yangtze, Mekong, Brahmaputra, Salween, and Irrawaddy) have their source"					matisoff2003handbook	stedt2015sinotibetan	stedt2015sinotibetan
12	PROTO-MON-KHMER	aust1305						2000BCE	-4000						shorto2006mon	sidwell-family	
13	PROTO-IROQUOIAN	iroq1247						"3,500 to 3,800 for the split of South and North Iroquoian"	-5500						julian2010history	lounsbury1961iroquois	
14	"Proto-Dené–Caucasian language"	NULL							NA						bengtson2008materials		
