Phoneme
kʲʷ
xʲʷ
i̝
u̝
ç
ʔj
ǁ
ǀ
ǂ
ǂ͇
ǁ̟
dʰ
mʰ
θ̪
jʼ
zʼ
ʒʼ
ð̪ʲ
a̘
bʰ
ɡbʰ
ɡʰ
ŋʼ
ð̪ʼ
ə̘
ʕɦ
ħh
ɡʰʷ
d̪ð̪
tθʰ
t̪θ̪ʼ
əɛ
cçʰ
cçʼ
c͇
cç
mʷʼ
pːʷ
yø
ɨe
ʔɲ
ʔb
ʔl
ʔm
ʔn
ʔŋ
ʔr
aːi
aːu
ɰʼ
ɰʷ
ɰʼʷ
ŋʷʼ
ɵ̆
θ̪ʼ
ʔd
ã̘
ĩ̘
ũ̘
ʈʂ͇ʰ
d̪ˤː
z̪ˤː
g
gː
gʷː
d͡z
t͡s
t͡sʼ
d͡ʐ
t͡ʂ
t͡ʂʼ
d͡ʒ
t͡ʃ
t͡ʃʼ
t͡ɬʼ
ẽ
õ
ɤɰ
aɰ
b̥
d̥
ɡ̊
ɟ͡ʝ
c͡ç
ɑɯ
ʰm
ʰl
ʰɲ
ʰŋ
ɑ:
t͡sʲ
d͡zʲ
o:
u:
ɑ:i
ɑ:u
t͡sʰ
t͡ɬʰ
d͡ɮ
t͡ɕʰ
t͡ɕʼ
t͡ʃʰ
ʜ
ʢ
ɟʰ
ɡʷʰ
h1
h2
h3
ʦʼ
ʦ
ʣ
ʦʼː
ʦː
tɬː
ʣː
tˁ
θˁ
sˁ
ðˁ
tˁː
θː
çː
θˁː
sˁː
βː
ðˁː
kˁ
ɬˁ
r ̩
sʲ​
p​ʰ​
t​ʰ​
ʦ​ʰ​
ʧʰ
ʧ
ʤ
c’
k’
k​ʷ​
ħʷ​
t’
ʦ’
θ’
ɬ’
t’ː
ʦ’ː
θ’ː
ɬ’ː
p​
k​
ř
ð’
s’
